epoch,loss(MSE),lr,time,tr_E(MAE),tr_F(MAE),val_E(MAE),val_F(MAE),irc_E(MAE),irc_F(MAE),test_E(MAE),test_F(MAE)
1.00000,171.62232,0.00010,13683.27001,2.78096,2.05044,2.01974,1.69137,0.00000,0.00000,0.00000,0.00000
2.00000,87.93761,0.00010,13586.82541,1.88102,1.56428,1.87578,1.49873,0.00000,0.00000,0.00000,0.00000
3.00000,70.30506,0.00010,13688.61165,1.66588,1.41619,1.45159,1.38020,0.00000,0.00000,0.00000,0.00000
4.00000,61.44469,0.00010,13601.52780,1.56432,1.33052,1.45713,1.32202,0.00000,0.00000,0.00000,0.00000
5.00000,55.82359,0.00010,13686.74343,1.49804,1.27199,1.21218,1.23482,0.00000,0.00000,0.00000,0.00000
6.00000,52.17094,0.00010,13597.50527,1.45524,1.22939,1.18658,1.24094,0.00000,0.00000,0.00000,0.00000
7.00000,49.14170,0.00010,13812.18256,1.42458,1.19577,1.15026,1.20419,0.00000,0.00000,0.00000,0.00000
8.00000,46.93249,0.00010,13703.75048,1.40395,1.16817,1.17157,1.14731,0.00000,0.00000,0.00000,0.00000
9.00000,45.24260,0.00010,13848.90327,1.37700,1.14706,1.19659,1.14126,0.00000,0.00000,0.00000,0.00000
10.00000,43.70001,0.00010,13680.05938,1.36804,1.12790,1.46799,1.16311,0.00000,0.00000,0.00000,0.00000
11.00000,42.75320,0.00010,13684.75942,1.34549,1.11175,1.52483,1.13117,0.00000,0.00000,0.00000,0.00000
12.00000,41.32542,0.00010,14605.22832,1.33832,1.09743,1.00046,1.08643,0.00000,0.00000,0.99999,1.08714
13.00000,40.73618,0.00010,13588.72490,1.33306,1.08541,1.33010,1.09273,0.00000,0.00000,0.00000,0.00000
14.00000,39.76233,0.00010,13625.35979,1.31786,1.07506,2.75933,1.06996,0.00000,0.00000,0.00000,0.00000
15.00000,39.14812,0.00010,13583.97816,1.31606,1.06535,2.20188,1.01233,0.00000,0.00000,0.00000,0.00000
16.00000,38.43513,0.00010,13673.82086,1.31055,1.05645,1.99148,1.06386,0.00000,0.00000,0.00000,0.00000
17.00000,37.91679,0.00010,13670.25430,1.30682,1.04886,1.42243,1.03744,0.00000,0.00000,0.00000,0.00000
18.00000,37.37917,0.00010,13580.55163,1.29169,1.04103,1.09526,1.06226,0.00000,0.00000,0.00000,0.00000
19.00000,37.07435,0.00010,13621.00603,1.30252,1.03442,1.14246,1.02369,0.00000,0.00000,0.00000,0.00000
20.00000,36.56689,0.00010,13708.83481,1.27972,1.02838,1.41150,1.03739,0.00000,0.00000,0.00000,0.00000
21.00000,36.18501,0.00010,13698.01829,1.27421,1.02330,0.96070,1.03252,0.00000,0.00000,0.00000,0.00000
22.00000,35.70539,0.00010,13607.79476,1.27210,1.01690,1.17559,1.02858,0.00000,0.00000,0.00000,0.00000
23.00000,35.36607,0.00010,13604.91206,1.27645,1.01195,1.68804,1.01153,0.00000,0.00000,0.00000,0.00000
24.00000,35.05265,0.00010,13605.00138,1.27080,1.00704,1.15495,1.02977,0.00000,0.00000,0.00000,0.00000
25.00000,34.78376,0.00010,14531.57906,1.25823,1.00270,1.09921,0.95173,0.00000,0.00000,1.09713,0.95200
26.00000,34.50740,0.00010,13678.66155,1.26652,0.99879,1.64969,0.94039,0.00000,0.00000,0.00000,0.00000
27.00000,34.30674,0.00010,13674.18572,1.25893,0.99481,0.95773,1.02494,0.00000,0.00000,0.00000,0.00000
28.00000,34.18231,0.00010,13680.45212,1.26672,0.99134,1.33376,0.99327,0.00000,0.00000,0.00000,0.00000
29.00000,33.91479,0.00010,13682.22080,1.26315,0.98801,1.71272,0.95837,0.00000,0.00000,0.00000,0.00000
30.00000,33.60072,0.00010,13669.50674,1.24480,0.98516,0.87506,0.98557,0.00000,0.00000,0.00000,0.00000
31.00000,33.34336,0.00010,13683.43819,1.24142,0.98175,1.22493,0.90475,0.00000,0.00000,0.00000,0.00000
32.00000,33.19278,0.00010,13593.39695,1.24595,0.97877,1.17242,0.96645,0.00000,0.00000,0.00000,0.00000
33.00000,32.99659,0.00010,13593.03737,1.23669,0.97545,1.15391,1.03362,0.00000,0.00000,0.00000,0.00000
34.00000,32.71323,0.00010,13594.32692,1.23808,0.97339,1.46430,0.92191,0.00000,0.00000,0.00000,0.00000
35.00000,32.70409,0.00010,13380.55862,1.24217,0.97054,0.97510,0.98965,0.00000,0.00000,0.00000,0.00000
36.00000,32.52270,0.00010,13319.61616,1.23545,0.96877,1.13879,0.92003,0.00000,0.00000,0.00000,0.00000
37.00000,32.33879,0.00010,13313.13453,1.23616,0.96638,1.54410,0.93983,0.00000,0.00000,0.00000,0.00000
38.00000,32.19634,0.00010,13321.93948,1.23251,0.96341,1.05119,1.01959,0.00000,0.00000,0.00000,0.00000
39.00000,32.24174,0.00010,13580.29099,1.23709,0.96209,0.94965,0.98005,0.00000,0.00000,0.00000,0.00000
40.00000,32.02038,0.00010,13601.57963,1.23561,0.95939,1.05212,0.99194,0.00000,0.00000,0.00000,0.00000
41.00000,31.87033,0.00010,13613.32320,1.23425,0.95793,0.83279,0.98293,0.00000,0.00000,0.00000,0.00000
42.00000,31.77622,0.00010,13610.93425,1.23016,0.95622,1.44563,0.98097,0.00000,0.00000,0.00000,0.00000
43.00000,31.55058,0.00010,14551.44421,1.21434,0.95412,1.14861,0.90731,0.00000,0.00000,1.14738,0.90728
44.00000,31.46351,0.00010,13677.92596,1.21548,0.95233,0.98064,0.96824,0.00000,0.00000,0.00000,0.00000
45.00000,31.39041,0.00010,13676.38253,1.21887,0.95016,0.92126,0.95999,0.00000,0.00000,0.00000,0.00000
